# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

0009  ; [*0201.0020.0002.0009] # HORIZONTAL TABULATION (in 6429)
000A  ; [*0202.0020.0002.000A] # LINE FEED (in 6429)
000B  ; [*0203.0020.0002.000B] # VERTICAL TABULATION (in 6429)
000C  ; [*0204.0020.0002.000C] # FORM FEED (in 6429)
000D  ; [*0205.0020.0002.000D] # CARRIAGE RETURN (in 6429)
0020  ; [*0209.0020.0002.0020] # SPACE
0021  ; [*0258.0020.0002.0021] # EXCLAMATION MARK
0022  ; [*02BE.0020.0002.0022] # QUOTATION MARK
0023  ; [*032B.0020.0002.0023] # NUMBER SIGN
0025  ; [*032C.0020.0002.0025] # PERCENT SIGN
0026  ; [*0328.0020.0002.0026] # AMPERSAND
0027  ; [*02B7.0020.0002.0027] # APOSTROPHE
0028  ; [*02C8.0020.0002.0028] # LEFT PARENTHESIS
0029  ; [*02C9.0020.0002.0029] # RIGHT PARENTHESIS
002A  ; [*0320.0020.0002.002A] # ASTERISK
002B  ; [*04FC.0020.0002.002B] # PLUS SIGN
002C  ; [*0232.0020.0002.002C] # COMMA
002D  ; [*0222.0020.0002.002D] # HYPHEN-MINUS
002E  ; [*026A.0020.0002.002E] # FULL STOP
002F  ; [*0325.0020.0002.002F] # SOLIDUS
003A  ; [*0242.0020.0002.003A] # COLON
003B  ; [*023F.0020.0002.003B] # SEMICOLON
003C  ; [*0500.0020.0002.003C] # LESS-THAN SIGN
003D  ; [*0501.0020.0002.003D] # EQUALS SIGN
003E  ; [*0502.0020.0002.003E] # GREATER-THAN SIGN
003F  ; [*025D.0020.0002.003F] # QUESTION MARK
